agent10005,
srv10005,0,
agent10004,
srv10004,0,
agent10006,
srv10006,1,
agent10003,
srv10003,1,
agent10007,
srv10007,1,
agent10009,
srv10009,0,
agent10001,
srv10001,0,
agent10008,
srv10008,0,
agent10000,
srv10000,1,
