Run,Iteration,dim-0,dim-1,dim-2,dim-3
0,0,0.0,0.01,0.0,0.0125
0,1,0.0,0.01,0.0,0.0125
0,2,0.01,0.0,0.0125,0.0
1,0,0.0,0.01,0.0,0.0125
1,1,0.0,0.01,0.0,0.0125
1,2,0.0,0.01,0.0,0.0125
