agent10005,
srv10005,1,
agent10004,
srv10004,0,
agent10006,
srv10006,0,
agent10003,
srv10003,0,
agent10009,
srv10009,1,
agent10001,
srv10001,0,
agent10008,
srv10008,1,
agent10007,
srv10007,0,
agent10000,
srv10000,1,
