Run,Iteration,dim-0,dim-1,dim-2,dim-3
0,0,0.01,0.02,0.0125,0.025
0,1,0.01,0.02,0.0125,0.025
0,2,0.02,0.01,0.025,0.0125
1,0,0.01,0.02,0.0125,0.025
1,1,0.01,0.02,0.0125,0.025
1,2,0.01,0.02,0.0125,0.025
