3.00,76.67,15322.12,14445.04,12.80,48900,189,18.504485942603264,
4.00,19.93,15328.54,14455.15,11.93,48900,189,20.62314476504583,
5.00,5.15,15327.39,14468.49,9.99,48900,189,22.53868230398513,
6.00,7.23,15328.60,14479.99,11.89,48900,189,30.869079999248516,
7.00,9.55,15330.49,14491.20,11.68,48900,189,40.932140183479774,
8.00,11.00,15332.02,14499.43,8.60,48900,189,48.75720767230262,
9.00,11.00,15332.78,14503.35,4.10,48900,189,52.5582619575654,
10.00,11.00,15333.48,14506.92,3.74,48900,189,56.04673763922379,
11.00,11.00,15334.08,14510.03,3.26,48900,189,59.09608531874227,
12.00,2.96,15334.04,14513.31,3.45,48900,189,62.039485007533614,
13.00,321.95,15332.05,14513.74,2.48,48900,189,61.62653730333987,
14.00,223.47,15330.57,14510.85,3.38,48900,189,58.38858963873015,
15.00,195.13,15326.09,14506.55,5.33,48900,189,52.74893932582847,
16.00,195.13,15324.24,14499.72,7.09,48900,189,45.702691386831226,
17.00,195.13,15321.77,14490.59,9.47,48900,189,36.3029062197508,
18.00,195.13,15318.69,14479.19,11.83,48900,189,24.630716595341546,
19.00,196.51,15315.17,14467.45,12.28,48900,189,12.673255303986275,
20.00,196.51,15312.08,14457.03,10.89,48900,189,4.080110292626836,
21.00,200.27,15309.73,14450.52,6.93,48900,189,6.706959072485297,
22.00,222.43,15305.96,14445.78,6.23,48900,189,11.403946685248439,
23.00,262.04,15299.75,14444.65,6.35,48900,189,14.852104228021327,
24.00,282.71,15291.62,14446.01,8.28,48900,189,19.72522496703064,
25.00,285.28,15282.21,14448.58,9.76,48900,189,27.12969774988373,
26.00,285.28,15271.13,14451.61,11.48,48900,189,37.26189742887569,
27.00,285.29,15259.94,14454.66,11.60,48900,189,48.116932570561396,
28.00,285.29,15248.00,14457.93,12.38,48900,189,60.007207067151526,
29.00,285.29,15236.49,14461.08,11.93,48900,189,71.6262975449662,
30.00,285.29,15224.81,14464.27,12.11,48900,189,83.50705958181075,
